X,Y,ObjectId,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude
-99.496613,27.546883,2630,Fiesta Mart,301 W Hillside Rd,,Laredo,TX,78041,3145,WEBB,-99.496613,27.546883
-95.384033,37.923019,2631,Pete's 36,1700 East St,,Iola,KS,66749,3006,ALLEN,-95.384033,37.923019
-82.185143,27.019049,2632,Flowers Bakery Outlet 13,583 Tamiami Trl,,Port Charlotte,FL,33953,2142,CHARLOTTE,-82.185143,27.019049
-78.956947,36.283154,2633,Timberlake Mart,8151 Durham Rd,,Timberlake,NC,27583,9577,PERSON,-78.956947,36.283154
-122.07657,37.63789,2634,CVS Pharmacy 10199,20659 Mission Blvd,,Haywood,CA,94544,,ALAMEDA,-122.07657,37.63789
-113.9758,35.255322,2635,Family Dollar Store 11149,4130 E John L Ave,,Kingman,AZ,86409,,MOHAVE,-113.9758,35.255322
-87.79467,42.719196,2636,Welcome Mart/Subway 5,1130 Washington Ave,,Racine,WI,53403,1764,RACINE,-87.79467,42.719196
-117.55758,33.873775,2637,Spiceasia Groceries,611 E Grand Blvd,Ste B,Corona,CA,92879,2225,RIVERSIDE,-117.55758,33.873775
-80.05909,26.51421,2638,Valero,1601 S Federal Hwy,,Boynton Beach,FL,33435,6953,PALM BEACH,-80.05909,26.51421
-78.732147,35.777538,2639,Little Sue Mini Mart,430 Buck Jones Rd,,Raleigh,NC,27606,1204,WAKE,-78.732147,35.777538
-97.686256,30.524824,2640,7-eleven Convenience Store 26815B,1713 N Mays St,,Round Rock,TX,78664,2914,WILLIAMSON,-97.686256,30.524824
-83.388023,42.294315,2641,Family Dollar Store 10723,1963 S Wayne Rd,,Westland,MI,48186,5434,WAYNE,-83.388023,42.294315
-92.91626,44.497257,2642,Ferndale Market,31659 Willow Trl,,Cannon Falls,MN,55009,3006,GOODHUE,-92.91626,44.497257
-86.571846,34.941422,2643,Walmart Supercenter 6878,14595 Highway 231 431 N,,Hazel Green,AL,35750,9403,MADISON,-86.571846,34.941422
